#Byte-by-byte Description of file: Table3.dat
#--------------------------------------------------------------------------------
#   Bytes Format Units           Label             Explanations
#--------------------------------------------------------------------------------
#  1-  8   I3     -              HRS               HRS name
# 10- 15   I3     A              Ha+[NII]EW        Halpha+[NII] equivalent width
# 16- 23   I3     A              err               error on the Halpha+[NII] 
#                                                  equivalent width
# 28- 35   F6.2   erg cm-2 s-1   logF(Ha+[NII])    Halpha+[NII] flux    
# 37- 42   F6.2   erg cm-2 s-1   err               error on Halpha+[NII] flux
# 45- 54   A8     -              Ref               Reference
# 55- 69   A12    -              Alt.Ref           Alternative reference
# 70- 75   A1     -              Notes             Notes
#--------------------------------------------------------------------------------
  1         41      4       -12.80   0.04    TW                            
  2         41      3       -12.40   0.03    TW                            
  3         8       4       -12.82   0.21    TW        14,17           c   
  4         34      5       -11.90   NaN     TW,7      22                  
  5         3       3       -13.27   0.40    TW                            
  6         0       36      NaN	     NaN     TW                            
  7         NaN     NaN	    NaN	     NaN     NaN
  8         11      4       -12.16   0.14    TW        22                  
  9         11      3       -12.21   0.13    TW                            
  10        31      3       -12.58   0.04    TW                            
  11        20      3       -12.16   0.07    TW                            
  12        28      3       -12.91   0.05    TW                            
  13        23      3       -11.65   0.06    TW                            
  14        NaN	    NaN	    NaN	     NaN     NaN
  15        38      16      -11.62   0.17    TW        21                  
  16        14      3       -12.06   0.10    TW                            
  17        28      4       -11.86   0.05    TW                            
  18        10      3       -12.59   0.15    TW                            
  19        32      4       -12.06   0.05    TW                            
  20        63      4       -11.58   0.02    TW        7                   
  21        5       3       -13.56   0.26    TW                            
  22        1       2       -12.89   0.40    11                            
  23        23      3       -12.11   0.06    TW                            
  24        17      4       -11.91   0.10    TW        7,21                
  25        40      3       -11.79   0.03    TW                            
  26        NaN	    NaN	    NaN	     NaN     NaN
  27        70      4       -12.10   NaN     TW,12                         
  28        46      4       -12.03   0.03    TW                            
  29        33      4       -12.37   0.06    TW                        m   
  30        43      5       -12.07   0.05    TW        TW                  
  31        25      4       -11.92   0.07    TW                            
  32        -2      3       NaN      NaN     TW                            
  33        17      1       -12.15   0.10    TW                            
  34        6       4       -12.76   0.24    TW                            
  35        NaN	    NaN	    NaN	     NaN     NaN
  36        37      4       -11.46   0.04    TW,20     6,10                
  37        23      3       -12.11   0.06    TW                            
  38        30      4       -12.42   0.05    TW                            
  39        28      3       -12.67   0.05    TW        TW                  
  40        38      3       -12.11   0.04    TW                            
  41        8       4       -13.04   0.19    TW                            
  42        22      4       -11.75   0.08    TW                            
  43        NaN	    NaN	    NaN	     NaN     NaN
  44        78      4       -12.05   0.02    TW        TW                  
  45        NaN	    NaN	    NaN	     NaN     NaN
  46        NaN	    NaN	    NaN	     NaN     NaN
  47        21      4       -12.30   0.09    TW        21                  
  48        32      5       -11.33   0.06    TW        6,20                
  49        NaN	    NaN	    NaN	     NaN     NaN
  50        34      3       -11.68   0.04    TW                            
  51        28      4       -12.16   0.06    TW                            
  52        19      3       -12.43   0.07    TW                            
  53        25      3       -11.92   0.05    TW                            
  54        11      3       -12.18   0.13    TW                            
  55        22      3       -11.91   0.06    TW        21                  
  56        30      3       -11.86   0.04    TW                            
  57        31      4       -11.54   0.05    TW                            
  58        23      3       -12.34   0.06    TW                            
  59        17      3       -12.21   0.08    TW                            
  60        18      6       -12.01   0.14    TW        12                  
  61        44      4       -12.46   0.03    TW                            
  62        71      8       -11.83   0.04    TW                            
  63        9       4       -12.12   0.19    TW                            
  64        17      3       -12.64   0.08    TW                            
  65        27      3       -12.12   0.05    TW                            
  66        28      3       -11.72   0.05    TW                            
  67        35      5       -12.42   0.06    TW                            
  68        44      3       -12.65   0.03    TW                            
  69        13      4       -11.84   0.13    TW        10                  
  70        31      4       -12.33   0.05    TW                            
  71        NaN	    NaN	    NaN	     NaN     NaN
  72        64      4       -12.07   0.02    TW                            
  73        13      4       -11.47   0.13    TW                            
  74        33      4       -11.62   0.04    TW                            
  75        3       3       -13.81   0.48    TW                            
  76        26      4       -12.54   0.06    TW        21                  
  77        17      3       -11.40   0.09    TW                            
  78        29      8       -12.21   0.11    TW                            
  79        43      1       -12.47   0.03    TW                            
  80        17      5       -12.58   0.21    TW        9               m   
  81        11      2       -12.24   0.11    4         12                  
  82        41      3       -12.50   0.03    TW                            
  83        32      3       -12.68   0.04    TW                            
  84        20      3       -12.31   0.07    3,TW                      m   
  85        18      4       -11.67   0.09    TW                            
  86        40      6       -11.77   0.07    3                             
  87        NaN	    NaN	    NaN	     NaN     NaN
  88        26      4       -11.73   0.07    4                             
  89        33      1       -11.72   NaN     1,20      5,6,9               
  90        NaN	    NaN	    NaN	     NaN     NaN
  91        9       1       -11.53   0.06    1         5,6                 
  92        23      2       -12.68   0.05    3                             
  93        NaN     NaN     -12.78   0.18    18        18                  
  94        28      2       -12.07   0.05    4         1,6                 
  95        9       1       -12.63   0.26    1                             
  96        20      3       -11.70   NaN    20        5,6                 
  97        3       1       -11.52   NaN     1,6                           
  98        20      1       -12.54   0.05    4                            
  99        24      2       -12.67   0.05    2         23                  
  100       9       1       -12.27   0.05    4         5,6,9,20            
  101       NaN	    NaN	    NaN	     NaN     NaN
  102       32      1       -10.96   0.05    1         5,6,20,22           
  103       2       1       -12.86   0.16    1                             
  104       -1      10      NaN	     NaN     TW                            
  105       3       3       -12.67   0.48    TW        22                  
  106       25      3       -12.34   0.06    3                             
  107       8       1       -13.22   0.07    2                             
  108       18      1       -13.25   0.06    4                             
  109       14      2       -12.76   0.06    3                             
  110       57      3       -11.63   0.04    3         5,6,20              
  111       31      7       -11.61   0.07    1         5,20,21,22          
  112       6       1       -12.74   0.06    3                             
  113       15      8       -11.86   0.14    1                             
  114       36      6       -10.85   NaN     1,20      5,6                 
  115       13      1       -12.98   0.05    4                             
  116       -1      8       NaN	     NaN       3                             
  117       5       1       -12.52   0.09    1                             
  118       48      7       -12.19   0.06    3                             
  119       2       1       -12.86   0.15    1                             
  120       6       3       -12.41   0.21    TW        1               m   
  121       14      1       -12.49   0.05    3                             
  122       18      1       -11.01   0.05    1         5,6,20,22           
  123       6       1       -12.40   0.07    3         22                  
  124       7       2       -12.62   0.12    1                             
  125       NaN	    NaN	    NaN	     NaN     NaN
  126       NaN	    NaN	    NaN	     NaN     NaN
  127       9       1       NaN	     NaN     1                             
  128       9       3       -12.97   0.09    3                             
  129       NaN	    NaN	    NaN	     NaN     NaN
  130       18      4       -12.45   0.10    4         5,6                 
  131       14      4       -12.81   0.21    1                             
  132       42      7       -12.27   0.06    3                             
  133       12      4       -12.62   0.14    TW                        m   
  134       8       1       -12.72   0.06    3                             
  135       2       3       NaN	     NaN     20                            
  136       -2      3       NaN	     NaN     TW        15                  
  137       NaN	    NaN	    NaN	     NaN     NaN                           
  138       3       2       -12.42   NaN     20,14     15,16,18            
  139       22      1       -12.48   0.04    2         22                  
  140       8       2       -12.19   0.10    3                             
  141       10      2       -12.64   NaN     1,5       6                   
  142       65      1       -11.63   0.04    4         1,5,22              
  143       26      1       -12.25   0.05    3                             
  144       15      1       -11.67   0.13    1                             
