#Byte-by-byte Description of file: table3.dat
#   Bytes Format Units          Label   Explanations
#   1- 14  A14   ---            Name    Galaxy number, mainly from UGC (1)
#  16- 21  A6    ---            Class   Galaxy classification
#  25- 29  I5    km/s           RV      ? Recession velocity
#  32- 35  F4.1  Mpc            Dist    Galaxy distance (2)
#  38- 40  F3.1  arcmin         Diam    Galaxy D25 major axis size
#  43- 45  F3.1  ---            a/b     Galaxy major-to-minor axis ratio
#  48- 52  F5.2  mag            Rmag    Galaxy total R magnitude from this study
#  55- 58  F4.2  mag            e_Rmag  Error on R magnitude
#  61- 65  F5.1  10-16W/m2      FHa     Ha+[NII] flux
#  67- 71  F5.2  10-16W/m2      e_FHa   Ha+[NII] flux error
#  74- 77  F4.1  nm             EW      ? Ha+[NII] equivalent width
#  80- 82  F3.1  nm             e_EW    ? Ha+[NII] equivalent width error
#  84- 90  F7.4  solMass/yr     SFR     Star formation rate
#  93- 98  F6.4  solMass/yr     e_SFR   Star formation rate error
# 101-106  F6.2  W/m2/arcsec2   SB      ? Ha+[NII] surface brightness
# 108-111  F4.2  W/m2/arcsec2   e_SB    ? Surface brightness error
#Note (1): Shane 1 is a previously uncatalogued galaxy.
#     The J2000 position is RA = 10 34 38.5, DE = +50 47 24
#Note (2): Galaxy distances derived using a Virgo-infall corrected model,
#     and literature distances for some very local galaxies.
UGC17         Sm         878   9.9  2.5  1.5  14.49  0.06    2.1  0.21   6.0  0.6  0.0448  0.0204    2.4  0.34
UGC75         IBm        865   9.7  2.8  1.3  12.33  0.04    4.2  1.05   1.6  0.4  0.1167  0.0606    5.2  1.40
UGC655        Sm         836  10.6  2.5  1.0  14.05  0.06    0.9  0.22   1.6  0.4  0.0224  0.0108    1.1  0.29
UGC891        SABm       643   7.2  2.3  2.3  14.05  0.06    0.5  0.13   1.0  0.3  0.0059  0.0036    0.6  0.17
UGC1176       Im         633   7.3  4.6  1.3  14.29  0.06    1.8  0.18   4.3  0.4  0.0275  0.0156    1.3  0.19
UGC1195       Im         774   8.8  3.4  3.1  13.35  0.05    1.7  0.43   1.8  0.4  0.0386  0.0218    1.8  0.47
UGC1200       IBm        808   9.2  2.0  1.4  13.19  0.05    3.4  0.34   3.0  0.3  0.0795  0.0391    7.4  1.05
UGC1865       Sm:        580   7.5  2.8  1.3  14.42  0.06    1.1  0.11   3.1  0.3  0.0149  0.0085    1.1  0.15
UGC1983       SAb:       609   8.0  2.4  1.8  11.49  0.04   17.1  1.71   3.1  0.3  0.2471  0.1412   19.5  2.76
UGC2002       Sdm:       597   7.8  2.3  1.6  12.00  0.04   10.3  1.03   3.0  0.3  0.1467  0.0834    6.8  0.96
UGC2017       Im         985  12.1  2.3  1.4  15.27  0.10    0.2  0.10   1.4  0.4  0.0111  0.0060    0.3  0.15
UGC2014       Im:        565   7.5  2.0  3.3  14.69  0.06    0.9  0.10   3.1  0.3  0.0138  0.0078    1.4  0.19
UGC2023       Im:        603   7.8  1.7  1.0  13.42  0.05    3.5  0.35   3.8  0.4  0.0662  0.0377    2.3  0.33
UGC2141       S0/a       987  12.2  2.5  2.3  12.02  0.04   15.6  1.56   4.6  0.5  0.6539  0.2410   10.9  1.54
UGC2193       SAc        518   6.9  3.0  1.1  11.08  0.04   30.6  3.06   3.8  0.4  0.3330  0.1894   21.7  3.06
UGC2455       IBm        375   4.9  3.3  1.3  11.91  0.04   27.6  2.76   7.4  0.7  0.2800  0.1593   36.8  5.20
UGC2684       Im         350   4.6  1.8  2.0  16.19  0.10    0.2  0.10   2.9  0.3  0.0015  0.0010    0.4  0.20
UGC2947       SBm        863  10.8  3.6  4.0  11.99  0.04   12.9  1.29   3.7  0.4  0.4413  0.1839    1.3  0.18
